ticket_id,customer_id,issue_type,resolution_time,satisfaction_score
163,174,Payment,18,5
164,529,Product,57,2
165,866,Delivery,19,2
166,418,Product,33,2
167,592,Delivery,8,2
168,477,Product,4,5
169,341,Payment,4,3
170,398,Delivery,72,1
171,403,Delivery,45,1
172,806,Delivery,68,1
173,37,Payment,66,1
174,841,Product,23,5
175,768,Product,10,5
176,687,Payment,28,3
177,632,Payment,23,1
178,780,Product,40,4
179,744,Delivery,47,3
180,277,Product,2,4
181,906,Product,5,5
182,62,Delivery,49,1
183,112,Payment,40,2
184,872,Product,24,5
185,764,Product,63,4
186,747,Delivery,45,2
187,26,Payment,54,1
188,745,Payment,46,2
189,200,Payment,35,1
190,935,Payment,63,5
191,654,Payment,6,4
192,723,Delivery,60,2
193,684,Delivery,52,5
194,236,Delivery,15,1
195,501,Product,19,3
196,52,Payment,15,3
197,642,Delivery,20,5
198,757,Delivery,39,2
199,777,Product,22,1
200,289,Product,42,5
201,47,Product,56,3
202,582,Product,23,1
203,300,Delivery,20,5
204,41,Payment,9,3
205,642,Delivery,40,4
206,47,Product,60,3
207,340,Delivery,69,3
208,311,Payment,54,2
209,950,Delivery,11,1
210,983,Product,5,2
211,284,Payment,60,2
212,598,Product,72,2
213,885,Delivery,16,2
214,651,Payment,43,4
215,107,Payment,5,1
216,452,Payment,45,3
217,198,Payment,12,1
218,485,Delivery,5,5
219,41,Delivery,35,4
220,498,Delivery,50,3
221,473,Payment,40,1
222,791,Payment,48,3
223,893,Product,54,1
224,337,Product,7,4
225,189,Product,58,4
226,671,Payment,29,2
227,222,Payment,55,4
228,715,Payment,57,1
229,671,Delivery,55,5
230,631,Delivery,15,2
231,484,Product,14,1
232,559,Delivery,72,2
233,7,Product,1,1
234,963,Delivery,55,5
235,301,Payment,3,1
236,270,Delivery,44,4
237,23,Product,72,1
238,364,Product,20,3
239,908,Product,43,1
240,898,Payment,46,5
241,956,Delivery,59,4
242,600,Product,70,2
243,621,Payment,3,5
244,25,Product,54,1
245,772,Payment,20,3
246,16,Payment,3,5
247,688,Payment,37,2
248,73,Product,44,3
249,51,Product,23,1
250,513,Product,62,1
251,263,Payment,36,2
252,774,Product,52,3
253,929,Payment,46,2
254,612,Delivery,63,5
255,236,Delivery,40,3
256,372,Delivery,70,3
257,519,Delivery,20,1
258,870,Product,70,3
259,356,Payment,10,5
260,540,Delivery,50,2
261,358,Delivery,14,4
262,993,Product,71,5
263,136,Product,53,4
264,134,Product,41,2
265,124,Product,3,2
266,196,Payment,53,5
267,794,Delivery,60,5
268,613,Product,63,1
269,465,Product,48,1
270,28,Payment,20,5
271,817,Payment,7,1
272,340,Payment,48,5
273,668,Product,46,3
274,969,Payment,33,2
275,331,Delivery,4,3
276,81,Product,7,1
277,454,Delivery,17,3
278,430,Product,36,2
279,876,Payment,23,1
280,427,Delivery,11,1
281,201,Payment,55,4
282,39,Delivery,24,1
283,108,Delivery,3,5
284,18,Product,29,3
285,789,Product,56,4
286,948,Payment,14,5
287,862,Delivery,52,4
288,621,Delivery,63,4
289,978,Product,26,5
290,959,Product,65,4
291,28,Delivery,33,3
292,856,Product,41,1
293,704,Delivery,15,4
294,154,Product,45,1
295,108,Product,27,5
296,429,Payment,70,1
297,219,Delivery,72,1
298,235,Delivery,20,4
299,812,Product,18,4
300,268,Delivery,12,3
301,494,Product,52,4
302,16,Delivery,63,3
303,170,Payment,24,2
304,961,Delivery,21,3
305,816,Payment,40,5
306,20,Delivery,28,3
307,362,Payment,19,1
308,759,Payment,46,1
309,293,Payment,16,3
310,112,Payment,1,3
311,970,Delivery,34,2
312,628,Delivery,25,5
313,372,Delivery,25,1
314,609,Product,38,3
315,824,Payment,32,4
316,373,Payment,70,5
317,144,Payment,51,2
318,713,Delivery,71,3
319,444,Payment,2,4
320,620,Product,19,3
321,20,Payment,15,5
322,696,Payment,68,5
323,559,Product,66,3
324,326,Delivery,30,3
325,254,Delivery,63,1
326,997,Product,1,3
327,930,Product,2,3
328,394,Delivery,44,2
329,765,Delivery,17,5
330,368,Product,11,5
331,447,Delivery,20,5
332,221,Product,72,2
333,474,Payment,31,2
334,691,Payment,64,1
335,698,Delivery,40,3
336,585,Delivery,72,2
337,909,Product,28,3
338,869,Payment,5,2
339,233,Delivery,31,5
340,79,Delivery,55,4
341,446,Payment,65,1
342,658,Delivery,26,1
343,850,Product,65,3
344,81,Payment,58,1
345,157,Product,55,5
346,651,Product,45,1
347,885,Delivery,57,2
348,885,Product,44,2
349,85,Payment,62,3
350,15,Delivery,40,1
351,899,Product,53,1
352,394,Product,59,4
353,785,Product,1,3
354,486,Delivery,46,3
355,653,Payment,64,5
356,543,Delivery,71,2
357,787,Payment,13,4
358,221,Product,32,5
359,166,Delivery,39,4
360,318,Delivery,42,4
361,209,Delivery,28,5
362,569,Payment,48,3
363,954,Payment,19,3
364,381,Delivery,53,1
365,833,Delivery,36,2
366,473,Product,66,5
367,527,Product,17,4
368,654,Payment,33,1
369,10,Product,28,4
370,59,Payment,69,1
371,721,Payment,37,1
372,389,Product,39,4
373,983,Delivery,18,1
374,254,Delivery,39,2
375,848,Payment,15,1
376,5,Payment,1,2
377,143,Delivery,70,1
378,374,Payment,24,5
379,955,Delivery,52,1
380,972,Payment,52,3
381,134,Delivery,38,5
382,736,Delivery,24,5
383,329,Product,29,4
384,615,Delivery,63,5
385,438,Delivery,69,3
386,144,Payment,19,5
387,197,Delivery,54,4
388,794,Delivery,22,1
389,551,Product,11,5
390,101,Payment,15,2
391,211,Payment,58,2
392,177,Payment,68,4
393,730,Product,12,2
394,454,Delivery,52,3
395,495,Payment,57,4
396,565,Product,56,5
397,834,Payment,38,2
398,327,Product,55,2
399,544,Product,46,4
400,270,Payment,35,2
401,34,Delivery,30,1
402,424,Product,12,4
403,928,Payment,66,2
404,324,Delivery,70,1
405,326,Delivery,5,4
406,379,Product,46,1
407,366,Product,40,5
408,924,Product,71,3
409,407,Payment,18,4
410,238,Product,66,1
411,566,Delivery,61,5
412,531,Product,36,1
413,640,Payment,6,3
414,194,Payment,46,4
415,54,Product,5,1
416,322,Product,29,5
417,376,Payment,54,3
418,731,Payment,63,5
419,659,Delivery,59,2
420,484,Delivery,62,4
421,347,Delivery,7,2
422,904,Payment,25,1
423,738,Delivery,24,4
424,415,Payment,40,4
425,94,Payment,5,1
426,779,Delivery,33,2
427,998,Payment,6,2
428,940,Delivery,55,2
429,944,Product,47,2
430,131,Payment,8,2
431,864,Product,46,1
432,108,Product,51,1
433,602,Product,44,3
434,399,Delivery,6,3
435,940,Delivery,54,1
436,335,Delivery,57,4
437,903,Payment,71,3
438,890,Delivery,11,3
439,646,Product,5,2
440,370,Product,63,1
441,330,Product,61,1
442,999,Payment,45,3
443,834,Product,44,1
444,180,Payment,11,2
445,638,Product,8,2
446,323,Payment,49,2
447,145,Payment,30,5
448,847,Delivery,63,3
449,953,Delivery,65,5
450,148,Product,15,4
451,377,Payment,44,1
452,137,Delivery,8,4
453,623,Delivery,30,4
454,585,Delivery,66,2
455,843,Payment,59,3
456,552,Payment,57,2
457,327,Product,1,3
458,739,Payment,8,3
459,436,Delivery,28,1
460,47,Delivery,7,5
461,923,Product,27,3
462,915,Product,70,4
463,611,Payment,62,3
464,242,Delivery,27,4
465,324,Product,4,5
466,343,Delivery,26,2
467,386,Payment,68,5
468,274,Delivery,22,5
469,377,Payment,21,1
470,845,Payment,58,4
471,940,Delivery,29,3
472,267,Delivery,19,3
473,27,Product,47,3
474,884,Delivery,44,4
475,997,Product,44,2
476,60,Product,64,3
477,231,Delivery,22,3
478,213,Payment,38,3
479,285,Delivery,38,1
480,973,Payment,47,4
481,319,Product,26,3
482,279,Payment,4,1
483,807,Payment,17,2
484,687,Payment,18,1
485,398,Delivery,35,3
486,173,Delivery,39,3
487,523,Product,37,4
488,435,Delivery,16,2
489,128,Delivery,29,3
490,518,Payment,70,3
491,303,Payment,13,4
492,566,Delivery,41,2
493,679,Product,64,2
494,1000,Payment,41,2
495,146,Delivery,15,4
496,5,Product,69,5
497,772,Payment,7,1
498,716,Product,33,1
499,637,Payment,51,5
500,228,Delivery,6,3
501,189,Delivery,35,2
502,886,Delivery,11,1
503,209,Delivery,66,1
504,540,Product,67,5
505,782,Product,20,3
506,837,Product,53,5
507,817,Delivery,60,1
508,150,Payment,43,2
509,831,Product,64,1
510,281,Product,26,5
511,137,Product,47,3
512,596,Delivery,71,1
513,188,Product,13,3
514,120,Product,63,3
515,330,Payment,52,4
516,451,Payment,31,3
517,124,Product,51,3
518,808,Product,13,5
519,616,Product,17,2
520,81,Product,59,1
521,127,Payment,5,5
522,956,Delivery,32,2
523,904,Payment,68,4
524,428,Delivery,4,2
525,504,Payment,21,3
526,508,Delivery,45,1
527,43,Product,70,5
528,17,Delivery,48,2
529,261,Delivery,6,5
530,524,Payment,24,3
531,301,Delivery,11,3
532,953,Product,13,2
533,14,Delivery,63,5
534,418,Payment,5,1
535,282,Delivery,63,3
536,638,Product,37,2
537,135,Delivery,37,3
538,880,Product,56,2
539,246,Payment,67,4
540,860,Product,33,5
541,245,Delivery,52,4
542,532,Product,38,4
543,278,Delivery,25,4
544,786,Product,41,5
545,976,Delivery,18,2
546,170,Product,42,5
547,344,Product,38,2
548,619,Delivery,34,1
549,904,Delivery,35,5
550,683,Payment,48,2
551,730,Delivery,9,3
552,222,Product,46,5
553,322,Payment,41,4
554,732,Delivery,49,3
555,931,Product,43,1
556,575,Delivery,20,5
557,190,Product,21,2
558,948,Payment,58,1
559,981,Delivery,16,3
560,805,Delivery,24,5
561,628,Payment,8,3
562,829,Delivery,34,2
563,293,Product,41,4
564,733,Product,64,2
565,437,Delivery,52,3
566,693,Delivery,65,1
567,70,Payment,17,5
568,765,Payment,49,2
569,738,Payment,24,5
570,25,Product,23,5
571,661,Delivery,67,5
572,895,Delivery,21,5
573,62,Payment,52,1
574,57,Product,72,1
575,941,Product,15,4
576,679,Product,46,4
577,176,Product,65,5
578,519,Product,41,3
579,843,Delivery,29,5
580,558,Product,45,5
581,348,Payment,35,3
582,114,Delivery,22,2
583,833,Payment,19,4
584,262,Product,24,4
585,19,Payment,56,3
586,336,Product,52,2
587,749,Delivery,11,3
588,920,Delivery,48,3
589,813,Product,33,1
590,964,Delivery,3,5
591,646,Delivery,3,2
592,636,Delivery,12,2
593,179,Delivery,7,1
594,209,Payment,33,4
595,487,Product,35,2
596,536,Delivery,45,5
597,117,Delivery,26,2
598,341,Delivery,46,3
599,541,Product,70,4
600,594,Delivery,58,4
601,351,Product,47,2
602,882,Product,19,5
603,953,Payment,22,3
604,615,Delivery,42,2
605,249,Product,60,1
606,838,Delivery,71,1
607,793,Product,28,1
608,535,Product,36,2
609,562,Payment,8,1
610,739,Payment,58,2
611,650,Payment,69,2
612,495,Delivery,23,5
613,561,Product,19,4
614,803,Payment,55,1
615,265,Product,64,3
616,641,Payment,25,4
617,396,Payment,16,3
618,451,Product,12,3
619,602,Product,55,1
620,605,Payment,4,4
621,81,Delivery,25,5
622,850,Product,28,3
623,864,Delivery,65,3
624,833,Product,56,1
625,230,Delivery,19,3
626,71,Product,66,3
627,766,Payment,28,5
628,283,Product,5,4
629,225,Payment,36,3
630,941,Payment,71,3
631,160,Payment,29,5
632,698,Product,64,2
633,162,Delivery,56,4
634,837,Payment,29,5
635,434,Delivery,52,3
636,764,Delivery,1,2
637,972,Payment,25,5
638,882,Product,52,2
639,368,Delivery,15,5
640,533,Product,46,4
641,550,Payment,13,4
642,149,Delivery,3,3
643,577,Product,51,4
644,794,Delivery,60,1
645,344,Product,67,2
646,589,Delivery,23,1
647,280,Delivery,3,3
648,251,Product,64,5
649,183,Payment,4,1
650,823,Product,19,1
651,962,Delivery,9,5
652,536,Product,54,5
653,999,Delivery,46,1
654,690,Delivery,24,2
655,358,Product,27,3
656,330,Payment,12,3
657,750,Payment,66,3
658,310,Product,2,2
659,954,Payment,37,1
660,720,Product,34,4
661,854,Delivery,65,2
662,29,Payment,14,2
663,145,Payment,50,1
664,84,Product,58,5
665,292,Payment,54,4
666,219,Product,61,5
667,903,Payment,23,2
668,412,Delivery,32,1
669,956,Delivery,45,5
670,448,Payment,16,2
671,613,Product,61,4
672,918,Product,35,1
673,634,Delivery,52,5
674,906,Product,54,1
675,603,Payment,14,1
676,486,Product,30,1
677,20,Payment,4,1
678,905,Product,72,4
679,882,Payment,61,5
680,268,Delivery,63,4
681,494,Product,62,5
682,149,Payment,23,2
683,430,Payment,37,1
684,127,Payment,6,3
685,313,Product,67,2
686,738,Product,48,1
687,585,Payment,50,3
688,624,Product,42,2
689,415,Delivery,45,1
690,656,Product,44,5
691,964,Payment,64,4
692,763,Product,69,1
693,145,Product,72,2
694,99,Product,22,3
695,291,Product,4,1
696,459,Payment,62,3
697,232,Delivery,3,1
698,895,Payment,56,5
699,241,Delivery,23,5
700,714,Payment,39,2
701,991,Delivery,72,5
702,62,Payment,38,1
703,22,Payment,20,2
704,337,Payment,39,2
705,610,Payment,55,5
706,775,Payment,40,5
707,935,Delivery,54,2
708,609,Delivery,18,4
709,377,Delivery,31,2
710,475,Product,47,4
711,495,Product,57,5
712,612,Delivery,21,1
713,608,Payment,12,3
714,492,Delivery,5,2
715,78,Payment,48,5
716,847,Payment,17,5
717,303,Delivery,25,3
718,837,Product,21,2
719,171,Product,15,4
720,858,Payment,2,3
721,821,Product,53,4
722,378,Product,51,5
723,863,Product,63,3
724,631,Product,19,3
725,269,Payment,3,1
726,294,Delivery,34,4
727,229,Payment,30,5
728,756,Delivery,9,4
729,489,Payment,57,1
730,191,Delivery,62,2
731,611,Delivery,21,1
732,831,Product,49,1
733,897,Payment,58,2
734,6,Delivery,26,3
735,362,Payment,13,4
736,50,Product,66,2
737,547,Payment,60,3
738,423,Delivery,50,4
739,923,Payment,23,3
740,735,Product,68,5
741,307,Delivery,41,2
742,129,Product,46,4
743,571,Payment,2,5
744,739,Product,56,3
745,999,Delivery,69,2
746,864,Product,51,3
747,611,Delivery,35,5
748,111,Product,32,1
749,389,Delivery,33,2
750,85,Product,69,3
751,668,Delivery,12,2
752,246,Payment,21,4
753,226,Delivery,61,5
754,559,Delivery,43,5
755,771,Payment,42,5
756,345,Delivery,37,1
757,863,Product,65,3
758,155,Delivery,17,3
759,836,Payment,30,1
760,502,Delivery,47,5
761,543,Product,50,5
762,833,Delivery,33,1
763,365,Delivery,31,2
764,102,Product,55,2
765,288,Product,68,2
766,230,Product,2,5
767,467,Product,72,1
768,388,Product,34,3
769,854,Payment,54,2
770,770,Delivery,18,2
771,76,Payment,45,1
772,227,Product,42,5
773,549,Payment,47,3
774,340,Payment,43,3
775,954,Delivery,54,4
776,109,Delivery,48,1
777,159,Product,1,3
778,332,Product,53,3
779,453,Product,7,4
780,295,Payment,15,2
781,42,Payment,28,5
782,282,Product,8,3
783,509,Payment,71,5
784,975,Payment,37,4
785,269,Payment,68,1
786,208,Product,37,1
787,382,Payment,9,1
788,391,Product,27,3
789,258,Payment,5,2
790,903,Delivery,58,5
791,868,Delivery,71,1
792,893,Delivery,48,3
793,543,Product,58,3
794,8,Delivery,37,5
795,741,Delivery,24,1
796,373,Payment,49,4
797,571,Payment,71,3
798,471,Delivery,49,4
799,186,Delivery,8,1
800,7,Delivery,63,1
801,244,Product,2,1
802,91,Product,35,5
803,580,Product,71,2
804,310,Product,38,4
805,411,Delivery,61,5
806,520,Product,5,1
807,552,Payment,49,1
808,146,Product,70,5
809,912,Payment,48,4
810,23,Delivery,8,2
811,212,Payment,49,1
812,595,Delivery,16,5
813,996,Payment,47,5
814,245,Product,33,2
815,518,Payment,6,3
816,698,Payment,44,3
817,846,Delivery,43,5
818,849,Payment,13,1
819,456,Delivery,26,3
820,770,Payment,1,1
821,589,Payment,33,2
822,558,Delivery,2,5
823,180,Payment,50,1
824,765,Product,10,3
825,123,Product,66,5
826,993,Product,38,2
827,109,Payment,58,4
828,586,Delivery,37,2
829,980,Payment,44,5
830,531,Payment,53,3
831,836,Payment,45,1
832,442,Delivery,46,3
833,633,Payment,68,4
834,826,Product,15,4
835,954,Product,45,5
836,530,Product,7,4
837,255,Payment,9,5
838,987,Payment,19,2
839,482,Payment,25,4
840,584,Product,3,4
841,426,Product,68,4
842,720,Payment,8,1
843,588,Product,53,4
844,515,Payment,13,1
845,252,Payment,9,4
846,486,Product,54,4
847,897,Delivery,69,2
848,562,Delivery,60,3
849,242,Product,15,5
850,663,Payment,72,3
851,991,Product,27,2
852,862,Delivery,35,4
853,910,Payment,10,1
854,687,Payment,51,1
855,98,Delivery,5,2
856,671,Delivery,36,1
857,155,Payment,46,5
858,231,Product,55,5
859,492,Payment,45,1
860,898,Delivery,14,5
861,794,Product,55,2
862,788,Delivery,36,5
863,217,Product,42,5
864,990,Delivery,36,2
865,311,Product,58,3
866,743,Product,3,2
867,341,Delivery,6,4
868,436,Delivery,57,2
869,29,Delivery,61,4
870,366,Delivery,68,2
871,799,Delivery,33,5
872,292,Payment,13,5
873,729,Product,61,5
874,761,Delivery,53,5
875,801,Product,48,4
876,177,Payment,10,2
877,717,Product,28,5
878,58,Delivery,72,2
879,705,Product,60,3
880,828,Product,18,5
881,312,Payment,6,5
882,821,Payment,70,1
883,50,Delivery,21,5
884,618,Payment,66,5
885,637,Product,48,3
886,489,Payment,42,1
887,40,Payment,32,1
888,543,Delivery,49,1
889,130,Delivery,43,3
890,391,Product,30,5
891,855,Product,56,4
892,645,Delivery,19,5
893,20,Product,42,5
894,90,Payment,69,5
895,403,Payment,7,2
896,672,Product,41,5
897,70,Payment,20,1
898,933,Delivery,8,1
899,260,Product,27,5
900,595,Delivery,69,5
901,390,Payment,11,4
902,581,Product,47,5
903,537,Product,48,4
904,338,Product,67,3
905,917,Delivery,14,1
906,102,Payment,11,5
907,599,Payment,9,2
908,455,Payment,32,4
909,285,Product,18,5
910,963,Payment,28,3
911,522,Product,4,4
912,615,Delivery,41,2
913,380,Payment,45,4
914,740,Product,40,3
915,846,Product,42,5
916,595,Delivery,56,3
917,982,Product,26,5
918,161,Payment,47,3
919,806,Product,50,2
920,594,Payment,6,5
921,4,Delivery,36,3
922,853,Delivery,21,1
923,446,Product,58,5
924,499,Product,13,3
925,363,Product,25,4
926,223,Product,67,3
927,581,Payment,1,3
928,372,Product,15,3
929,74,Product,11,3
930,708,Payment,67,2
931,231,Product,26,1
932,441,Payment,60,3
933,676,Product,44,3
934,259,Delivery,40,1
935,287,Payment,22,3
936,986,Delivery,47,5
937,32,Payment,21,3
938,891,Payment,67,4
939,373,Product,59,2
940,176,Delivery,34,3
941,242,Product,19,3
942,200,Delivery,39,3
943,349,Payment,69,5
944,588,Payment,63,3
945,486,Product,67,3
946,978,Product,16,5
947,101,Payment,1,2
948,170,Product,53,4
949,715,Delivery,5,3
950,926,Payment,38,4
951,464,Delivery,72,2
952,102,Payment,33,3
953,254,Delivery,46,1
954,503,Product,44,4
955,209,Product,34,4
956,120,Product,61,3
957,18,Payment,61,4
958,847,Product,61,1
959,647,Payment,41,5
960,759,Product,58,4
961,943,Delivery,30,2
962,946,Delivery,43,5
963,751,Delivery,41,3
964,831,Product,13,2
965,371,Payment,35,2
966,893,Payment,59,4
967,154,Product,10,4
968,543,Payment,45,1
969,682,Product,71,4
970,757,Payment,53,1
971,146,Delivery,33,5
972,92,Payment,41,4
973,834,Payment,15,2
974,284,Delivery,18,3
975,854,Payment,2,1
976,336,Payment,68,5
977,262,Product,6,2
978,870,Delivery,42,4
979,165,Payment,67,2
980,468,Payment,55,2
981,827,Payment,62,1
982,48,Product,69,5
983,207,Delivery,17,1
984,248,Payment,32,1
985,31,Delivery,66,3
986,972,Product,65,4
987,687,Payment,60,4
988,731,Product,3,3
989,369,Delivery,8,3
990,22,Payment,11,1
991,57,Product,54,1
992,878,Product,72,3
993,775,Payment,30,1
994,774,Delivery,72,5
995,787,Product,33,2
996,455,Payment,18,5
997,474,Product,67,4
998,844,Payment,51,5
999,721,Payment,54,5
1000,594,Delivery,29,5
1001,375,Product,25,5
1002,680,Payment,72,4
1003,715,Delivery,30,4
1004,452,Product,52,3
1005,185,Delivery,50,2
1006,791,Delivery,71,4
1007,411,Payment,37,5
1008,182,Delivery,47,3
1009,420,Payment,49,2
1010,837,Payment,65,1
1011,991,Payment,10,4
1012,384,Payment,67,5
1013,858,Delivery,53,5
1014,127,Product,14,4
1015,109,Delivery,62,2
1016,919,Delivery,70,4
1017,235,Payment,72,2
1018,174,Payment,12,5
1019,555,Delivery,28,3
1020,309,Delivery,47,1
1021,499,Delivery,4,1
1022,434,Delivery,70,2
1023,517,Payment,67,3
1024,289,Payment,44,5
1025,35,Delivery,14,1
1026,894,Delivery,39,2
1027,447,Delivery,37,4
1028,137,Product,32,5
1029,784,Payment,54,4
1030,455,Payment,26,5
1031,141,Delivery,8,3
1032,534,Product,14,4
1033,436,Delivery,6,2
1034,587,Payment,28,4
1035,847,Delivery,20,3
1036,763,Payment,67,2
1037,733,Payment,29,5
1038,489,Delivery,72,4
1039,84,Product,17,1
1040,216,Delivery,10,4
1041,885,Delivery,67,2
1042,867,Product,30,5
1043,395,Payment,24,1
1044,69,Payment,64,1
1045,431,Product,9,4
1046,3,Product,30,2
1047,329,Delivery,12,2
1048,323,Payment,66,1
1049,360,Delivery,23,2
1050,251,Delivery,30,2
1051,637,Payment,45,3
1052,467,Payment,4,2
1053,96,Payment,35,4
1054,667,Product,54,1
1055,558,Payment,33,3
1056,993,Payment,68,3
1057,774,Delivery,68,4
1058,310,Product,51,4
1059,248,Payment,44,5
1060,754,Delivery,72,3
1061,911,Delivery,10,2
1062,314,Delivery,30,3
1063,197,Delivery,39,3
1064,726,Product,64,3
1065,17,Product,35,5
1066,671,Payment,69,3
1067,872,Payment,44,4
1068,405,Product,16,3
1069,659,Product,45,3
1070,948,Delivery,19,3
1071,810,Payment,14,2
1072,249,Payment,48,1
1073,170,Payment,68,4
1074,377,Delivery,71,1
1075,437,Product,69,3
1076,738,Delivery,47,4
1077,225,Payment,60,1
1078,163,Product,68,5
1079,813,Product,4,3
1080,553,Product,43,1
1081,495,Delivery,52,1
1082,55,Delivery,4,1
1083,442,Delivery,49,1
1084,921,Payment,16,5
1085,658,Payment,34,4
1086,699,Payment,28,2
1087,901,Delivery,59,3
1088,532,Payment,5,3
1089,638,Payment,66,3
1090,348,Payment,68,1
1091,260,Payment,62,1
1092,660,Payment,18,2
1093,633,Product,7,1
1094,874,Payment,42,3
1095,506,Payment,1,4
1096,600,Payment,42,3
1097,690,Product,48,1
1098,58,Payment,29,5
1099,377,Delivery,36,1
1100,712,Product,20,1
1101,867,Payment,58,4
1102,253,Product,72,4
1103,701,Payment,50,5
1104,538,Product,19,2
1105,914,Payment,23,2
1106,543,Delivery,45,4
1107,211,Delivery,57,4
1108,163,Payment,63,5
1109,618,Payment,7,1
1110,72,Product,42,4
1111,954,Product,60,2
1112,773,Product,71,5
1113,97,Payment,1,5
1114,988,Payment,72,2
1115,194,Payment,71,2
1116,940,Product,7,2
1117,29,Product,14,1
1118,940,Payment,67,5
1119,966,Payment,39,3
1120,733,Payment,48,4
1121,904,Payment,65,5
1122,424,Product,39,5
1123,832,Delivery,49,4
1124,775,Product,23,5
1125,763,Product,52,2
1126,565,Payment,26,3
1127,35,Payment,10,4
1128,527,Delivery,36,2
1129,988,Product,62,3
1130,574,Delivery,35,1
1131,594,Delivery,22,3
1132,47,Product,25,2
1133,347,Product,61,5
1134,66,Delivery,20,3
1135,159,Payment,15,5
1136,622,Product,30,1
1137,309,Product,17,2
1138,391,Payment,50,5
1139,595,Payment,59,3
1140,279,Delivery,1,1
1141,951,Payment,22,1
1142,199,Product,63,4
1143,376,Product,24,2
1144,995,Payment,6,5
1145,216,Payment,47,4
1146,363,Delivery,44,2
1147,733,Product,28,4
1148,430,Delivery,67,3
1149,203,Product,23,2
1150,754,Payment,43,2
1151,554,Delivery,69,5
1152,155,Payment,32,1
1153,265,Delivery,33,4
1154,381,Payment,21,2
1155,723,Product,56,1
1156,906,Delivery,31,4
1157,693,Payment,10,5
1158,661,Product,56,5
1159,811,Delivery,21,5
1160,541,Payment,4,3
1161,113,Product,14,1
